"","cell_ID","cell_types"
"c_1_57_1223","c_1_57_1223","Acinar.1"
"c_1_57_1431","c_1_57_1431","Acinar.1"
"c_1_57_1510","c_1_57_1510","Acinar.1"
"c_1_57_1543","c_1_57_1543","Ductal"
"c_1_57_1569","c_1_57_1569","Acinar.1"
"c_1_57_157","c_1_57_157","Acinar.1"
"c_1_57_1624","c_1_57_1624","Acinar.2"
"c_1_57_1631","c_1_57_1631","Acinar.1"
"c_1_57_164","c_1_57_164","Acinar.1"
"c_1_57_1681","c_1_57_1681","Acinar.1"
"c_1_57_1703","c_1_57_1703","Acinar.1"
"c_1_57_1837","c_1_57_1837","Acinar.1"
"c_1_57_19","c_1_57_19","Acinar.1"
"c_1_57_1940","c_1_57_1940","Acinar.1"
"c_1_57_1988","c_1_57_1988","Acinar.1"
"c_1_57_2103","c_1_57_2103","Ductal"
"c_1_57_2137","c_1_57_2137","Ductal"
"c_1_57_218","c_1_57_218","Ductal"
"c_1_57_2342","c_1_57_2342","Acinar.2"
"c_1_57_2350","c_1_57_2350","Acinar.2"
"c_1_57_2389","c_1_57_2389","Beta cells"
"c_1_57_2594","c_1_57_2594","Ductal"
"c_1_57_2625","c_1_57_2625","Acinar.1"
"c_1_57_487","c_1_57_487","Acinar.1"
"c_1_57_489","c_1_57_489","Acinar.1"
"c_1_57_519","c_1_57_519","Acinar.1"
"c_1_57_587","c_1_57_587","Ductal"
"c_1_57_70","c_1_57_70","Acinar.1"
"c_1_57_702","c_1_57_702","Quiescent stellate"
"c_1_57_714","c_1_57_714","Acinar.2"
"c_1_57_749","c_1_57_749","Ductal"
"c_1_57_759","c_1_57_759","Ductal"
"c_1_57_789","c_1_57_789","Acinar.1"
"c_1_57_791","c_1_57_791","Acinar.1"
"c_1_57_814","c_1_57_814","Acinar.1"
"c_1_57_971","c_1_57_971","Acinar.1"
"c_1_58_100","c_1_58_100","Acinar.2"
"c_1_58_1012","c_1_58_1012","Acinar.1"
"c_1_58_1097","c_1_58_1097","Acinar.2"
"c_1_58_124","c_1_58_124","Quiescent stellate"
"c_1_58_1255","c_1_58_1255","Acinar.2"
"c_1_58_1326","c_1_58_1326","Acinar.1"
"c_1_58_1341","c_1_58_1341","Ductal"
"c_1_58_1357","c_1_58_1357","Ductal"
"c_1_58_1415","c_1_58_1415","Acinar.2"
"c_1_58_1426","c_1_58_1426","Acinar.1"
"c_1_58_1448","c_1_58_1448","Acinar.1"
"c_1_58_1452","c_1_58_1452","Macrophage"
"c_1_58_1501","c_1_58_1501","Acinar.1"
"c_1_58_1517","c_1_58_1517","Ductal"
"c_1_58_1568","c_1_58_1568","Acinar.1"
"c_1_58_1608","c_1_58_1608","Ductal"
"c_1_58_1663","c_1_58_1663","Acinar.1"
"c_1_58_17","c_1_58_17","Acinar.1"
"c_1_58_1905","c_1_58_1905","Acinar.1"
"c_1_58_1932","c_1_58_1932","Acinar.1"
"c_1_58_2030","c_1_58_2030","Acinar.1"
"c_1_58_2095","c_1_58_2095","Acinar.1"
"c_1_58_213","c_1_58_213","Ductal"
"c_1_58_2142","c_1_58_2142","Ductal"
"c_1_58_2150","c_1_58_2150","Beta cells"
"c_1_58_2160","c_1_58_2160","Beta cells"
"c_1_58_2163","c_1_58_2163","Beta cells"
"c_1_58_218","c_1_58_218","Acinar.1"
"c_1_58_2206","c_1_58_2206","Acinar.1"
"c_1_58_2226","c_1_58_2226","Beta cells"
"c_1_58_2305","c_1_58_2305","Acinar.2"
"c_1_58_2420","c_1_58_2420","Acinar.1"
"c_1_58_2615","c_1_58_2615","Acinar.1"
"c_1_58_2621","c_1_58_2621","Ductal"
"c_1_58_2701","c_1_58_2701","Ductal"
"c_1_58_2720","c_1_58_2720","Acinar.1"
"c_1_58_2763","c_1_58_2763","Acinar.1"
"c_1_58_2786","c_1_58_2786","Acinar.1"
"c_1_58_292","c_1_58_292","Acinar.1"
"c_1_58_294","c_1_58_294","Acinar.1"
"c_1_58_411","c_1_58_411","Quiescent stellate"
"c_1_58_467","c_1_58_467","Acinar.1"
"c_1_58_486","c_1_58_486","Ductal"
"c_1_58_49","c_1_58_49","Acinar.2"
"c_1_58_501","c_1_58_501","Ductal"
"c_1_58_534","c_1_58_534","Ductal"
"c_1_58_542","c_1_58_542","Acinar.2"
"c_1_58_569","c_1_58_569","Acinar.1"
"c_1_58_731","c_1_58_731","Acinar.1"
"c_1_58_776","c_1_58_776","Acinar.1"
"c_1_58_852","c_1_58_852","Acinar.1"
"c_1_58_885","c_1_58_885","Acinar.1"
"c_1_58_90","c_1_58_90","Acinar.2"
"c_1_59_1095","c_1_59_1095","Acinar.1"
"c_1_59_1124","c_1_59_1124","Acinar.1"
"c_1_59_1253","c_1_59_1253","Acinar.2"
"c_1_59_1284","c_1_59_1284","Acinar.2"
"c_1_59_1444","c_1_59_1444","Ductal"
"c_1_59_1521","c_1_59_1521","Acinar.1"
"c_1_59_1522","c_1_59_1522","Acinar.1"
"c_1_59_1545","c_1_59_1545","Ductal"
"c_1_59_1550","c_1_59_1550","Acinar.1"
"c_1_59_1610","c_1_59_1610","Acinar.1"
"c_1_59_1627","c_1_59_1627","Acinar.1"
"c_1_59_1634","c_1_59_1634","Acinar.1"
"c_1_59_172","c_1_59_172","Ductal"
"c_1_59_1815","c_1_59_1815","Acinar.1"
"c_1_59_1866","c_1_59_1866","Acinar.1"
"c_1_59_1927","c_1_59_1927","Ductal"
"c_1_59_1962","c_1_59_1962","Quiescent stellate"
"c_1_59_1964","c_1_59_1964","Acinar.2"
"c_1_59_202","c_1_59_202","Acinar.2"
"c_1_59_2050","c_1_59_2050","Acinar.1"
"c_1_59_206","c_1_59_206","Acinar.1"
"c_1_59_2117","c_1_59_2117","Ductal"
"c_1_59_2127","c_1_59_2127","Acinar.1"
"c_1_59_2162","c_1_59_2162","Acinar.2"
"c_1_59_2250","c_1_59_2250","Ductal"
"c_1_59_2277","c_1_59_2277","Acinar.1"
"c_1_59_2463","c_1_59_2463","Acinar.2"
"c_1_59_2537","c_1_59_2537","Acinar.2"
"c_1_59_2586","c_1_59_2586","Active stellate"
"c_1_59_266","c_1_59_266","Acinar.1"
"c_1_59_2673","c_1_59_2673","Ductal"
"c_1_59_2685","c_1_59_2685","Acinar.2"
"c_1_59_2710","c_1_59_2710","Quiescent stellate"
"c_1_59_406","c_1_59_406","Beta cells"
"c_1_59_507","c_1_59_507","Ductal"
"c_1_59_555","c_1_59_555","Quiescent stellate"
"c_1_59_600","c_1_59_600","Alpha cells"
"c_1_59_651","c_1_59_651","Ductal"
"c_1_59_659","c_1_59_659","Acinar.1"
"c_1_59_982","c_1_59_982","Acinar.1"
"c_1_59_99","c_1_59_99","Acinar.1"
"c_1_60_1082","c_1_60_1082","Acinar.1"
"c_1_60_1152","c_1_60_1152","Acinar.1"
"c_1_60_1185","c_1_60_1185","Delta cells"
"c_1_60_119","c_1_60_119","Acinar.1"
"c_1_60_1194","c_1_60_1194","Ductal"
"c_1_60_1255","c_1_60_1255","Acinar.1"
"c_1_60_1300","c_1_60_1300","Alpha cells"
"c_1_60_1382","c_1_60_1382","Quiescent stellate"
"c_1_60_1401","c_1_60_1401","Acinar.1"
"c_1_60_1494","c_1_60_1494","Acinar.1"
"c_1_60_1532","c_1_60_1532","Ductal"
"c_1_60_1657","c_1_60_1657","Acinar.1"
"c_1_60_1712","c_1_60_1712","Acinar.1"
"c_1_60_2027","c_1_60_2027","Acinar.1"
"c_1_60_2060","c_1_60_2060","Acinar.1"
"c_1_60_2062","c_1_60_2062","Acinar.1"
"c_1_60_207","c_1_60_207","Ductal"
