,cell_types
16-2010,fibroblast
21-809,endothelial
26-2311,fibroblast
26-3290,fibroblast
26-652,fibroblast
6-2749,T CD4 naive
11-989,tumor
16-366,T CD8 naive
16-1705,tumor
26-3157,plasmablast
26-3038,mDC
11-960,tumor
16-1634,tumor
1-452,neutrophil
16-1766,tumor
16-892,fibroblast
6-1393,pDC
26-2790,tumor
11-136,tumor
21-2354,pDC
11-432,tumor
26-1428,plasmablast
6-5068,B-cell
6-2195,mast
6-889,plasmablast
16-1207,tumor
1-1766,fibroblast
11-1648,tumor
16-1352,tumor
21-2394,mDC
11-3540,tumor
16-2054,mast
16-2933,pDC
26-1538,B-cell
26-1119,plasmablast
6-4099,tumor
11-2815,tumor
21-1,fibroblast
26-3192,plasmablast
1-1090,neutrophil
6-4378,endothelial
11-1907,tumor
11-746,tumor
11-3394,tumor
16-1432,tumor
26-3030,macrophage
1-2390,fibroblast
6-3732,T CD4 naive
6-2446,B-cell
11-2702,tumor
11-1193,tumor
11-203,tumor
11-167,tumor
16-1578,tumor
26-1868,T CD4 naive
6-144,tumor
21-1539,mDC
11-791,epithelial
11-581,tumor
16-2910,mDC
1-1435,endothelial
11-1986,tumor
11-1606,tumor
11-485,tumor
16-3036,pDC
26-3135,macrophage
26-726,tumor
6-4789,plasmablast
11-914,tumor
21-327,pDC
6-2261,T CD4 naive
6-2105,endothelial
16-1238,tumor
26-2300,fibroblast
26-337,neutrophil
6-5183,T CD4 naive
6-3994,T CD4 naive
11-2848,tumor
26-609,fibroblast
26-176,tumor
1-2274,endothelial
1-1182,macrophage
1-146,epithelial
6-5026,endothelial
21-2915,endothelial
1-1933,T CD4 naive
16-1383,tumor
6-5194,B-cell
6-1494,plasmablast
11-668,endothelial
16-2351,plasmablast
16-597,plasmablast
21-924,plasmablast
21-2376,plasmablast
6-1014,endothelial
11-1140,tumor
21-2387,pDC
1-1721,neutrophil
1-1278,macrophage
6-3802,plasmablast
11-3384,tumor
21-2345,endothelial
26-1180,fibroblast
1-2003,epithelial
6-5213,NK
11-1973,tumor
21-747,endothelial
1-1834,endothelial
1-1487,epithelial
6-3896,T CD4 naive
16-318,plasmablast
1-2364,fibroblast
11-864,tumor
16-3253,tumor
16-3214,fibroblast
21-1022,fibroblast
26-3409,B-cell
6-3462,plasmablast
26-567,tumor
6-5223,T CD4 naive
11-2719,tumor
16-656,plasmablast
16-54,fibroblast
6-3246,T CD4 naive
6-3114,tumor
6-1157,plasmablast
6-646,tumor
11-3485,fibroblast
26-2034,plasmablast
1-478,neutrophil
6-3018,neutrophil
11-1686,tumor
16-979,tumor
21-1827,fibroblast
21-486,mDC
6-685,tumor
11-3935,tumor
16-2428,neutrophil
26-1920,plasmablast
6-4824,T CD4 naive
11-3897,tumor
26-1275,neutrophil
11-3894,tumor
26-1641,neutrophil
26-204,tumor
1-2047,epithelial
6-3688,pDC
6-3622,plasmablast
6-3558,pDC
6-2055,endothelial
11-1113,tumor
26-67,tumor
6-3388,pDC
6-2693,macrophage
6-2540,plasmablast
11-3351,tumor
26-2792,tumor
11-3495,neutrophil
11-1081,tumor
26-1777,plasmablast
26-1498,plasmablast
6-4447,fibroblast
16-106,fibroblast
6-1713,plasmablast
11-2611,tumor
26-350,neutrophil
1-1054,neutrophil
1-227,B-cell
6-5264,pDC
6-4395,endothelial
6-565,tumor
11-42,epithelial
16-3058,plasmablast
26-3149,macrophage
26-891,tumor
11-3537,tumor
21-1630,mDC
26-871,fibroblast
6-1648,B-cell
16-2468,mast
21-1780,fibroblast
21-1204,epithelial
6-1741,plasmablast
6-235,tumor
21-1341,endothelial
26-1674,plasmablast
26-3223,fibroblast
1-2370,mast
16-2197,plasmablast
21-2829,fibroblast
1-347,epithelial
6-4177,tumor
1-1911,endothelial
6-3721,plasmablast
6-963,pDC
11-2934,mDC
16-3738,NK
1-1453,pDC
11-1153,tumor
16-893,tumor
21-1618,macrophage
21-2960,epithelial
26-1067,mDC
1-1887,B-cell
11-430,tumor
16-3596,tumor
26-3169,fibroblast
6-1419,pDC
11-1204,tumor
11-3364,tumor
16-2734,fibroblast
26-678,tumor
1-2383,T CD4 naive
1-454,tumor
6-2314,pDC
26-1149,plasmablast
6-3834,NK
11-587,epithelial
6-3080,NK
16-2135,endothelial
16-2059,mast
26-798,fibroblast
6-3426,T CD4 naive
6-4793,mDC
6-1178,plasmablast
16-731,fibroblast
16-301,plasmablast
21-1035,plasmablast
6-2787,T CD4 naive
6-4773,T CD4 naive
16-2237,plasmablast
21-2368,pDC
21-473,fibroblast
26-1197,fibroblast
26-2981,fibroblast
1-1115,neutrophil
6-2726,B-cell
1-1839,T CD4 naive
11-2897,tumor
11-1923,tumor
11-3509,neutrophil
11-1009,tumor
21-2208,plasmablast
6-4627,pDC
16-367,T CD4 naive
6-3332,B-cell
6-1122,plasmablast
11-1995,tumor
16-3023,plasmablast
21-2516,macrophage
21-2198,pDC
26-1322,neutrophil
6-5252,T CD4 naive
6-111,tumor
11-3812,neutrophil
11-907,tumor
6-5227,T CD8 naive
11-2827,tumor
11-1673,tumor
16-3041,mDC
26-1228,fibroblast
6-3191,tumor
6-5166,plasmablast
11-1572,neutrophil
26-3436,plasmablast
6-5241,T CD4 naive
6-4814,mast
6-2262,mDC
11-1624,tumor
11-697,plasmablast
16-2312,plasmablast
26-3159,plasmablast
26-1035,fibroblast
6-1,tumor
11-3324,NK
26-3470,fibroblast
26-3424,B-cell
26-1864,pDC
11-562,tumor
1-310,epithelial
6-4826,T CD4 naive
6-66,tumor
11-438,tumor
16-962,tumor
6-485,tumor
6-3870,T CD4 naive
16-2676,fibroblast
21-2920,fibroblast
16-1441,tumor
6-1665,plasmablast
6-4548,B-cell
11-1755,tumor
11-1070,tumor
11-790,tumor
16-600,fibroblast
1-1428,plasmablast
6-1295,pDC
11-3280,fibroblast
16-563,plasmablast
21-822,epithelial
6-5125,pDC
6-3550,T CD4 naive
11-675,plasmablast
21-723,endothelial
21-2220,fibroblast
26-2250,plasmablast
26-2938,tumor
11-1737,tumor
16-1368,tumor
16-796,fibroblast
21-2917,endothelial
21-2900,pDC
26-3185,fibroblast
1-1940,T CD4 naive
6-4564,NK
21-2785,mDC
1-1879,T CD4 naive
11-1544,neutrophil
26-2109,plasmablast
1-118,macrophage
11-1937,tumor
16-918,tumor
26-758,fibroblast
6-3713,B-cell
6-3910,B-cell
6-1270,plasmablast
11-2834,tumor
11-3881,tumor
11-947,tumor
26-911,mast
6-550,tumor
11-2784,tumor
16-3644,endothelial
16-3587,tumor
6-3236,neutrophil
11-1231,fibroblast
11-3335,tumor
11-2003,tumor
26-1939,plasmablast
26-415,neutrophil
26-102,tumor
6-2058,endothelial
21-2377,fibroblast
26-1096,mDC
26-228,tumor
6-1345,B-cell
11-1911,tumor
11-1270,endothelial
16-2495,mast
16-2372,plasmablast
6-147,tumor
1-1845,endothelial
6-2814,NK
16-3222,fibroblast
21-1506,pDC
6-3363,fibroblast
6-1860,epithelial
6-1412,T CD8 naive
6-978,T CD4 naive
11-3386,tumor
16-2542,plasmablast
6-774,epithelial
6-269,tumor
16-1399,tumor
21-1338,endothelial
1-1919,endothelial
11-1107,tumor
16-2615,plasmablast
26-3211,pDC
1-2405,epithelial
6-3856,T CD4 naive
11-490,tumor
16-2250,plasmablast
21-2832,fibroblast
21-2190,plasmablast
6-3675,endothelial
11-1469,tumor
16-754,fibroblast
11-627,epithelial
26-1068,mDC
6-2489,endothelial
11-2930,tumor
11-3322,tumor
6-5077,B-cell
6-4436,fibroblast
11-3547,tumor
16-701,fibroblast
26-1186,mast
6-2599,T CD4 naive
11-2747,tumor
11-259,tumor
6-5243,plasmablast
21-870,epithelial
21-560,plasmablast
21-443,plasmablast
26-1652,pDC
1-2372,epithelial
6-4585,plasmablast
11-3496,tumor
26-1708,plasmablast
1-1462,plasmablast
26-2152,B-cell
11-1619,tumor
11-900,tumor
6-5127,pDC
26-3182,plasmablast
26-815,macrophage
6-4753,T CD4 naive
26-1910,plasmablast
26-1339,macrophage
6-3228,neutrophil
6-2647,endothelial
11-3901,tumor
11-1884,tumor
11-1758,tumor
11-577,epithelial
11-992,tumor
11-3266,fibroblast
11-24,epithelial
6-3825,B-cell
6-5163,B-cell
11-2886,tumor
16-353,endothelial
21-476,pDC
26-3201,fibroblast
26-1268,fibroblast
6-4565,macrophage
16-2637,plasmablast
21-1606,plasmablast
26-882,mDC
6-3882,plasmablast
6-5117,B-cell
6-3427,endothelial
6-1724,pDC
6-4385,endothelial
11-3535,tumor
11-954,tumor
16-2815,epithelial
21-2646,plasmablast
21-455,pDC
26-3161,plasmablast
26-217,tumor
1-2391,T CD4 naive
6-2729,T CD4 naive
6-2471,endothelial
11-1636,tumor
16-3079,mast
16-3063,plasmablast
21-2314,tumor
26-907,mDC
26-188,tumor
6-1244,plasmablast
16-473,plasmablast
6-112,tumor
6-4076,tumor
16-2348,plasmablast
16-3254,tumor
21-2510,mDC
6-3921,B-cell
6-3563,T CD4 naive
6-1129,plasmablast
26-1600,plasmablast
6-2550,T CD4 naive
26-736,monocyte
6-2768,T CD4 naive
16-1893,tumor
26-2350,fibroblast
26-1782,plasmablast
11-678,plasmablast
1-1480,plasmablast
6-4539,T CD8 naive
21-1736,fibroblast
1-1508,epithelial
11-2701,tumor
16-3759,plasmablast
6-1370,fibroblast
11-2647,tumor
6-229,tumor
11-1567,T CD4 naive
11-1084,tumor
16-2705,fibroblast
21-1980,fibroblast
21-2712,fibroblast
21-403,macrophage
1-2387,T CD4 naive
6-3172,tumor
11-2849,tumor
11-2014,tumor
11-1985,tumor
11-1956,tumor
11-1687,tumor
16-623,fibroblast
6-5144,B-cell
11-1027,NK
16-3653,T CD4 naive
21-76,fibroblast
11-3554,tumor
16-3526,tumor
26-1627,plasmablast
26-846,fibroblast
11-3442,fibroblast
16-3026,pDC
6-284,tumor
26-998,fibroblast
11-3891,tumor
11-2558,tumor
16-3665,fibroblast
6-5152,Treg
6-953,mDC
11-3308,fibroblast
16-576,plasmablast
11-59,epithelial
11-1895,tumor
26-2204,plasmablast
6-3979,Treg
6-4675,mast
6-1834,endothelial
6-4581,NK
11-1239,fibroblast
11-643,epithelial
16-1496,tumor
16-1530,tumor
6-3953,T CD4 naive
6-3895,plasmablast
11-717,plasmablast
16-3537,tumor
26-777,fibroblast
16-2331,fibroblast
11-2290,tumor
6-3848,B-cell
6-2052,B-cell
16-1671,tumor
26-2175,T CD4 naive
1-2381,T CD4 naive
6-3088,neutrophil
6-1044,plasmablast
6-55,tumor
11-1918,tumor
16-1573,fibroblast
21-438,pDC
11-928,tumor
16-3800,plasmablast
16-2283,fibroblast
21-497,plasmablast
26-1166,neutrophil
26-3406,pDC
26-1111,fibroblast
6-1275,plasmablast
16-3847,fibroblast
16-1435,tumor
26-590,tumor
6-2815,T CD4 naive
11-2935,epithelial
1-2395,T CD4 naive
11-3888,tumor
11-1756,tumor
16-333,endothelial
26-1800,plasmablast
6-4779,mast
11-3400,tumor
16-1401,tumor
21-2495,neutrophil
6-4833,endothelial
6-90,tumor
21-2717,fibroblast
26-2287,plasmablast
26-144,tumor
6-5157,plasmablast
11-1693,tumor
16-1836,tumor
26-1844,plasmablast
11-2909,tumor
21-2786,fibroblast
26-3391,plasmablast
26-887,mDC
6-2353,macrophage
6-1101,fibroblast
1-2277,mDC
11-1409,tumor
11-1000,tumor
16-1932,tumor
21-563,plasmablast
6-3676,T CD8 naive
16-449,plasmablast
11-2677,tumor
11-2198,tumor
21-1669,pDC
26-1446,endothelial
26-985,T CD4 naive
6-3860,T CD4 naive
16-2101,fibroblast
16-3479,tumor
6-1725,plasmablast
11-3628,tumor
11-593,epithelial
21-2909,T CD8 naive
6-3430,mDC
6-1024,plasmablast
21-744,T CD8 memory
26-2562,macrophage
6-3819,endothelial
6-2499,B-cell
6-1572,T CD4 naive
11-3560,tumor
16-1289,tumor
21-1797,fibroblast
26-1526,plasmablast
26-1047,mast
21-1570,pDC
21-1045,plasmablast
6-1906,B-cell
6-4590,plasmablast
16-1716,tumor
6-3571,T CD4 naive
6-141,tumor
11-2771,tumor
21-2372,plasmablast
26-733,epithelial
26-205,tumor
1-1652,epithelial
6-2732,pDC
6-653,epithelial
11-1201,endothelial
21-1534,pDC
11-788,neutrophil
21-2,pDC
26-1203,macrophage
21-1646,plasmablast
26-2050,plasmablast
26-157,tumor
1-2285,mast
6-2573,endothelial
11-1963,tumor
11-3521,tumor
26-1006,Treg
6-4516,B-cell
11-3940,tumor
16-1857,tumor
26-3255,plasmablast
26-1394,endothelial
6-3526,macrophage
6-1789,plasmablast
11-3916,tumor
26-2404,fibroblast
6-2,tumor
21-1970,mast
26-1281,fibroblast
1-1153,macrophage
6-4561,T CD4 naive
11-682,macrophage
6-3934,plasmablast
6-1310,pDC
6-270,tumor
16-459,plasmablast
6-3724,B-cell
11-3546,tumor
21-810,endothelial
6-2965,endothelial
6-4823,endothelial
16-903,fibroblast
26-1951,plasmablast
26-833,fibroblast
26-385,neutrophil
16-3752,tumor
21-2031,mast
1-1890,T CD4 naive
6-4865,fibroblast
6-1179,T CD8 naive
16-3405,tumor
26-666,fibroblast
16-2654,fibroblast
26-1114,monocyte
26-778,fibroblast
6-2411,plasmablast
6-320,tumor
26-1596,plasmablast
1-1498,fibroblast
16-3540,tumor
21-1349,endothelial
6-2338,macrophage
11-3883,tumor
16-3724,fibroblast
16-809,plasmablast
26-2127,plasmablast
26-1902,plasmablast
11-2555,tumor
21-1882,fibroblast
26-2002,fibroblast
26-254,tumor
1-2393,T CD4 naive
11-53,tumor
16-2137,plasmablast
16-1752,tumor
26-1487,endothelial
6-4884,T CD4 naive
6-2473,plasmablast
16-2165,plasmablast
21-724,fibroblast
26-2990,fibroblast
6-1848,plasmablast
11-1685,tumor
26-2363,plasmablast
26-903,fibroblast
11-3904,tumor
11-949,tumor
26-3148,neutrophil
26-972,fibroblast
6-3911,B-cell
11-3923,tumor
16-1247,tumor
1-2338,neutrophil
6-4711,T CD4 naive
6-2040,mDC
6-4081,tumor
11-1439,tumor
16-940,epithelial
6-2287,pDC
26-2188,B-cell
6-3014,epithelial
11-1914,tumor
21-1373,endothelial
6-3081,B-cell
11-1744,tumor
21-552,fibroblast
21-50,plasmablast
6-4888,T CD4 naive
6-2752,plasmablast
6-4619,mast
6-585,epithelial
16-858,fibroblast
26-2303,plasmablast
26-598,tumor
21-2914,fibroblast
26-932,mDC
16-1469,fibroblast
26-3448,plasmablast
26-1167,macrophage
26-106,tumor
1-1528,endothelial
6-4386,plasmablast
11-1717,neutrophil
11-1176,tumor
6-3874,macrophage
6-4536,mast
16-3907,tumor
21-2124,mDC
21-2961,plasmablast
21-749,endothelial
26-1760,pDC
6-945,T CD4 naive
6-36,tumor
1-1825,NK
6-1250,plasmablast
11-2679,tumor
21-314,mDC
26-3140,neutrophil
26-859,macrophage
26-2970,monocyte
1-1853,endothelial
6-5232,plasmablast
6-3677,plasmablast
11-2619,tumor
11-829,tumor
21-2230,epithelial
26-1879,plasmablast
16-1805,tumor
21-1468,fibroblast
21-658,endothelial
26-1856,plasmablast
6-2106,T CD4 naive
11-1290,tumor
16-3419,fibroblast
16-990,tumor
21-1209,mDC
26-206,tumor
6-2683,pDC
6-1702,B-cell
16-3687,fibroblast
16-1685,fibroblast
26-1305,mast
11-2785,tumor
11-684,endothelial
16-1423,fibroblast
21-1832,plasmablast
6-3171,B-cell
26-1510,endothelial
11-14,tumor
16-3513,tumor
16-2798,tumor
16-3620,tumor
16-3175,pDC
16-311,neutrophil
21-1595,mast
21-868,endothelial
26-1723,pDC
6-1363,T CD4 naive
21-1170,fibroblast
21-2598,fibroblast
6-3781,plasmablast
6-1330,plasmablast
21-2200,endothelial
6-4100,tumor
21-1552,fibroblast
21-2670,fibroblast
21-2335,fibroblast
6-2976,endothelial
6-1015,B-cell
21-470,pDC
6-3739,B-cell
6-3447,mDC
16-1606,fibroblast
1-1909,T CD4 naive
11-1646,tumor
6-4792,plasmablast
6-2617,endothelial
6-2551,endothelial
6-1897,T CD4 naive
16-3159,pDC
21-2049,NK
21-519,plasmablast
1-783,T CD4 naive
11-3920,tumor
16-954,tumor
26-3216,endothelial
6-3268,T CD4 naive
11-639,epithelial
16-665,mast
16-99,fibroblast
26-1797,pDC
26-2942,fibroblast
1-1270,macrophage
6-3623,plasmablast
21-1265,mDC
1-1870,T CD4 naive
26-1124,fibroblast
26-4,tumor
6-1143,T CD4 naive
21-1620,fibroblast
1-343,macrophage
16-381,plasmablast
26-2462,plasmablast
6-4457,pDC
16-1822,tumor
26-3389,plasmablast
26-1235,epithelial
6-1752,mast
11-1460,tumor
26-3355,mDC
1-1402,neutrophil
6-2007,monocyte
26-964,T CD4 memory
26-780,fibroblast
6-4394,plasmablast
11-1327,tumor
11-876,tumor
26-3048,macrophage
1-2297,T CD4 naive
6-4897,plasmablast
6-2765,pDC
6-5188,endothelial
11-1412,tumor
26-158,tumor
16-3673,fibroblast
16-1049,tumor
26-1680,endothelial
26-3174,endothelial
26-838,macrophage
6-1385,pDC
11-1698,tumor
26-3092,endothelial
26-673,fibroblast
6-3928,plasmablast
11-2639,tumor
11-1351,tumor
16-1026,tumor
6-1440,macrophage
11-2898,tumor
16-1237,fibroblast
1-1685,neutrophil
11-3343,tumor
16-2923,endothelial
1-479,tumor
26-750,fibroblast
6-3900,plasmablast
16-3609,tumor
21-884,tumor
26-644,tumor
6-3716,B-cell
6-215,tumor
11-3395,fibroblast
11-683,endothelial
6-1666,mDC
21-1909,B-cell
26-3525,mDC
11-2537,tumor
16-1119,tumor
16-1082,tumor
16-3210,plasmablast
11-1748,tumor
16-2725,fibroblast
26-2405,pDC
26-3031,fibroblast
1-1501,T CD4 naive
1-1422,NK
6-2467,T CD4 naive
6-595,epithelial
21-942,endothelial
26-2134,plasmablast
6-3208,pDC
6-4305,epithelial
1-766,fibroblast
6-4082,tumor
21-1523,monocyte
1-733,B-cell
6-5235,plasmablast
11-3909,tumor
21-2446,endothelial
6-2927,pDC
11-1390,tumor
11-951,tumor
16-2827,tumor
21-1061,plasmablast
26-3364,fibroblast
26-3297,plasmablast
6-3999,epithelial
6-4842,pDC
6-4713,B-cell
6-4384,T CD4 naive
21-572,fibroblast
26-3381,fibroblast
1-861,epithelial
6-2829,T CD4 naive
6-1811,plasmablast
6-1552,B-cell
6-4499,plasmablast
6-4431,pDC
11-2778,tumor
11-1764,tumor
11-3414,neutrophil
16-3556,tumor
16-1162,tumor
26-921,mDC
6-3145,plasmablast
6-285,tumor
16-3569,tumor
11-2868,tumor
16-505,plasmablast
16-452,pDC
16-3265,mast
21-653,endothelial
26-3082,fibroblast
6-2651,endothelial
11-3205,epithelial
21-762,fibroblast
21-561,endothelial
6-3820,plasmablast
6-3581,T CD4 naive
6-3431,B-cell
11-2340,tumor
21-843,fibroblast
26-2057,T CD4 naive
26-1936,B-cell
26-1660,endothelial
6-3485,T CD4 naive
11-825,tumor
16-2081,tumor
16-1695,fibroblast
21-1652,fibroblast
6-3660,plasmablast
6-2576,endothelial
11-1484,tumor
11-3262,endothelial
11-22,tumor
16-3361,fibroblast
11-1712,tumor
16-699,T CD4 memory
21-527,plasmablast
26-2192,B-cell
26-829,macrophage
1-2396,B-cell
6-2099,T CD4 naive
6-32,tumor
11-3636,tumor
11-3447,tumor
1-1562,plasmablast
6-2968,T CD4 naive
16-2244,tumor
21-1401,endothelial
1-1929,B-cell
1-1653,epithelial
1-2300,B-cell
6-178,tumor
11-3479,tumor
16-3365,fibroblast
16-340,fibroblast
26-610,tumor
1-493,tumor
6-4862,fibroblast
6-1220,plasmablast
6-4396,T CD4 naive
26-207,tumor
1-631,epithelial
6-3863,T CD4 naive
6-2517,mast
11-3839,tumor
16-1515,fibroblast
11-777,fibroblast
21-1800,endothelial
26-2374,T CD8 naive
6-3340,T CD4 naive
6-2395,mast
6-761,epithelial
11-3549,tumor
11-1171,tumor
16-2015,tumor
16-787,fibroblast
26-3016,mDC
1-762,mDC
6-1730,mDC
16-3424,fibroblast
26-1263,mDC
6-4095,tumor
26-1577,endothelial
21-2163,fibroblast
11-2318,tumor
6-1317,plasmablast
21-1857,plasmablast
1-1880,plasmablast
6-4122,tumor
11-2900,tumor
11-1747,tumor
26-1245,macrophage
1-1601,plasmablast
6-3935,B-cell
11-896,tumor
21-1898,plasmablast
21-693,fibroblast
11-2767,tumor
6-1359,plasmablast
16-2160,fibroblast
21-727,mDC
21-2233,mDC
11-3486,tumor
26-3333,B-cell
26-781,fibroblast
6-5205,T CD4 naive
6-4525,B-cell
11-2370,tumor
21-1172,mDC
26-1467,macrophage
6-4665,B-cell
6-1505,plasmablast
21-1036,mDC
1-1692,T CD8 naive
6-491,epithelial
11-1652,tumor
26-2297,pDC
26-1340,T CD8 naive
11-2689,neutrophil
16-666,NK
21-488,plasmablast
6-5096,pDC
6-2331,epithelial
16-1251,fibroblast
1-2150,fibroblast
6-4685,B-cell
11-1368,tumor
21-2338,fibroblast
26-2479,neutrophil
26-124,tumor
6-3202,macrophage
21-1599,fibroblast
11-156,epithelial
26-2341,mast
6-3052,fibroblast
6-1390,pDC
21-1740,endothelial
26-2236,fibroblast
26-683,fibroblast
11-1028,endothelial
11-662,neutrophil
16-2777,tumor
26-1625,endothelial
1-1395,NK
16-2190,fibroblast
21-2554,pDC
26-1992,B-cell
6-3101,fibroblast
6-4882,plasmablast
6-869,epithelial
6-3125,B-cell
6-2727,plasmablast
6-4661,B-cell
11-2052,tumor
16-3906,tumor
21-2252,T CD4 naive
26-1220,endothelial
6-3674,endothelial
26-3306,fibroblast
11-2000,tumor
11-3490,tumor
6-3710,endothelial
6-2248,T CD4 naive
11-775,endothelial
16-2650,endothelial
16-2062,tumor
26-3160,fibroblast
1-1225,macrophage
1-7,macrophage
11-3790,tumor
26-1324,neutrophil
26-155,tumor
6-4593,T CD4 naive
11-2866,tumor
11-2800,tumor
6-3163,B-cell
6-338,tumor
6-77,tumor
11-1622,tumor
16-1007,mast
1-728,T CD8 naive
11-2135,tumor
16-1524,endothelial
21-1464,plasmablast
6-5025,T CD4 naive
6-4889,plasmablast
16-3811,fibroblast
16-1793,tumor
16-1692,fibroblast
21-988,fibroblast
6-3927,T CD4 naive
6-415,tumor
11-945,tumor
26-2403,mDC
6-2675,endothelial
6-4120,tumor
11-199,fibroblast
6-618,pDC
11-2637,mast
16-2729,fibroblast
16-2313,tumor
26-827,macrophage
26-760,fibroblast
6-3504,macrophage
6-2577,endothelial
11-3190,epithelial
21-2983,plasmablast
26-2631,macrophage
26-627,tumor
1-2124,neutrophil
6-2785,plasmablast
21-472,fibroblast
1-471,tumor
6-1245,plasmablast
6-688,B-cell
11-1731,tumor
6-2917,plasmablast
11-2495,epithelial
21-1059,plasmablast
21-786,fibroblast
26-2144,B-cell
26-1411,plasmablast
6-5168,plasmablast
6-2977,plasmablast
21-2256,fibroblast
26-1940,B-cell
6-3396,T CD4 naive
6-2160,pDC
6-4426,T CD4 naive
11-3542,tumor
11-1114,tumor
11-3311,tumor
16-3781,tumor
16-3756,tumor
16-3560,tumor
1-2292,mDC
1-763,T CD8 naive
26-1009,neutrophil
11-892,tumor
16-2679,fibroblast
21-53,plasmablast
1-1190,macrophage
11-3391,endothelial
11-248,endothelial
16-3892,tumor
16-1240,fibroblast
16-523,T CD4 naive
26-1665,fibroblast
1-1918,pDC
6-3443,fibroblast
6-164,tumor
26-1741,fibroblast
26-1564,fibroblast
1-511,tumor
6-3177,B-cell
6-4070,tumor
11-637,neutrophil
16-2888,fibroblast
1-853,T CD8 naive
11-1722,tumor
16-3301,plasmablast
26-3043,fibroblast
6-1790,T CD4 naive
6-1074,T CD4 naive
11-1479,tumor
11-584,neutrophil
1-742,fibroblast
6-3842,T CD4 naive
6-3589,B-cell
6-4643,mDC
