,cell_types
6-5102,B-cell
6-877,tumor
6-4139,tumor
11-3751,neutrophil
11-1133,tumor
26-2113,plasmablast
26-2952,fibroblast
1-1313,pDC
21-506,fibroblast
11-1715,tumor
11-1241,tumor
16-548,pDC
26-636,fibroblast
6-3113,plasmablast
21-2700,macrophage
26-3194,plasmablast
1-1914,endothelial
6-5076,B-cell
6-4935,neutrophil
6-4732,endothelial
6-1632,endothelial
11-3701,epithelial
11-1175,tumor
11-429,tumor
16-2047,tumor
16-2900,fibroblast
11-2337,tumor
21-2393,endothelial
6-3665,T CD4 naive
6-3311,T CD4 naive
21-2342,fibroblast
26-810,neutrophil
21-2419,fibroblast
6-1740,plasmablast
16-1047,tumor
21-63,fibroblast
6-5171,plasmablast
6-495,tumor
6-4183,tumor
11-1291,tumor
16-522,pDC
26-3459,plasmablast
1-2280,endothelial
6-2660,T CD4 naive
6-1821,fibroblast
6-464,tumor
11-1104,tumor
11-1054,tumor
21-1949,fibroblast
6-4663,macrophage
1-1810,mDC
6-527,tumor
16-2532,tumor
26-3558,plasmablast
11-998,tumor
16-3485,tumor
16-717,fibroblast
21-908,plasmablast
26-612,macrophage
6-5142,T CD4 naive
6-2206,T CD4 memory
16-500,plasmablast
16-3027,plasmablast
6-1300,NK
21-2102,fibroblast
1-560,endothelial
6-3154,T CD4 naive
11-1792,tumor
1-1877,pDC
1-1624,B-cell
6-3628,pDC
6-5065,T CD4 naive
16-3817,tumor
21-1183,T CD4 naive
11-1214,tumor
26-2528,mDC
6-2546,T CD4 naive
21-437,fibroblast
6-4982,T CD8 naive
16-2000,tumor
16-1970,tumor
6-1644,mDC
11-849,tumor
11-295,epithelial
21-411,fibroblast
26-1098,fibroblast
1-1333,pDC
26-880,macrophage
6-4817,mast
11-2490,tumor
11-477,tumor
21-1028,fibroblast
26-2202,plasmablast
1-2339,B-cell
1-639,T CD4 naive
6-192,tumor
11-1415,tumor
1-1740,endothelial
11-3517,tumor
16-3330,tumor
26-1938,plasmablast
6-2462,endothelial
11-2024,mast
26-893,pDC
1-2011,tumor
6-3845,B-cell
26-323,neutrophil
6-787,tumor
11-361,tumor
16-3547,tumor
21-2778,fibroblast
1-1932,mast
1-1678,plasmablast
1-591,endothelial
11-1249,tumor
11-153,tumor
16-164,plasmablast
1-206,B-cell
16-3459,fibroblast
6-2146,fibroblast
11-1316,tumor
26-504,tumor
16-3343,tumor
26-470,tumor
26-450,tumor
11-2931,fibroblast
16-3357,tumor
26-820,T CD4 naive
16-625,mast
6-5057,plasmablast
